x,y,cluster
0.536,0.1,4
0.654,0.903,3
0.93,0.593,2
0.437,0.098,1
0.69,0.817,3
0.513,0.068,4
0.356,0.06,1
0.957,0.583,2
0.457,0.714,3
0.316,0.039,1
0.111,0.77,0
1.044,0.581,2
0.428,0.695,3
0.359,0.711,0
0.44,0.043,1
0.282,0.094,1
0.38,0.069,1
0.105,0.731,0
0.278,0.527,0
0.422,0.78,3
0.303,0.867,0
0.307,0.868,0
0.33,0.028,1
1.01,0.513,2
0.974,0.565,2
0.46,0.095,4
0.304,0.925,0
0.473,0.109,4
0.439,0.699,3
0.249,0.508,0
0.218,0.531,0
0.376,0.126,1
0.371,0.133,1
0.27,0.906,0
0.076,0.799,0
0.649,0.796,3
0.248,0.932,0
0.974,0.588,2
0.225,0.882,0
0.508,0.697,3
0.641,0.81,3
0.302,0.443,0
0.281,0.947,0
0.079,0.801,0
0.421,0.083,1
0.378,0.915,3
0.232,0.955,0
0.261,0.919,0
0.343,0.045,1
0.461,0.678,3
0.392,0.077,1
0.093,0.794,0
0.525,0.021,4
0.381,0.476,0
0.506,0.079,4
0.075,0.757,0
0.687,0.757,3
0.734,0.806,3
0.272,0.377,1
0.382,0.712,0
0.356,0.527,0
0.196,0.529,0
0.707,0.802,3
0.268,0.576,0
0.969,0.556,2
0.276,0.513,0
0.087,0.75,0
0.446,0.148,4
0.367,0.927,0
0.331,0.114,1
0.313,0.486,0
0.337,0.031,1
0.463,0.733,3
0.303,0.909,0
0.21,0.851,0
0.703,0.807,3
0.342,0.849,0
0.722,0.793,3
0.472,0.633,3
0.289,0.903,0
0.413,0.004,1
0.491,0.06,4
0.69,0.804,3
0.154,0.798,0
0.686,0.8,3
0.146,0.802,0
0.668,0.724,3
0.381,0.086,1
0.291,0.52,0
0.321,0.031,1
0.925,0.539,2
0.665,0.796,3
0.514,0.711,3
0.974,0.574,2
0.273,0.486,0
0.329,0.436,0
0.224,0.459,0
0.5,0.099,4
0.216,0.552,0
0.069,0.734,0
0.489,0.015,4
0.479,0.015,4
0.557,0.142,4
0.492,0.031,4
0.297,0.914,0
0.757,0.884,3
0.476,0.072,4
0.737,0.793,3
0.5,0.035,4
0.267,0.48,0
0.255,0.543,0
0.531,0.062,4
0.507,0.185,4
0.118,0.798,0
0.09,0.772,0
0.119,0.851,0
0.306,0.505,0
0.517,0.086,4
0.541,0.098,4
0.644,0.901,3
0.497,0.084,4
0.237,0.897,0
0.635,0.679,3
0.44,0.721,3
0.336,0.118,1
0.324,0.518,0
0.412,0.746,3
0.678,0.806,3
0.244,0.517,0
0.709,0.784,3
0.492,0.011,4
0.279,0.539,0
0.213,0.916,0
1.026,0.553,2
0.355,0.055,1
0.399,0.11,1
0.048,0.785,0
0.234,0.839,0
0.256,0.893,0
0.37,0.023,1
0.343,0.017,1
0.683,0.76,3
0.422,0.085,1
0.412,0.145,1
0.268,0.541,0
0.122,0.833,0
0.126,0.657,0
0.037,0.778,0
0.29,0.47,0
0.994,0.537,2
0.286,0.938,0
0.446,0.763,3
0.45,0.108,4
0.214,0.906,0
0.49,0.113,4
0.362,0.105,1
0.423,0.787,3
0.406,0.053,1
0.278,0.531,0
0.225,0.569,0
1.013,0.571,2
0.693,0.828,3
0.3,0.458,0
0.639,0.834,3
0.385,0.049,1
0.456,0.005,4
0.434,0.687,3
0.386,0.017,1
0.251,0.865,0
0.214,0.511,0
0.919,0.551,2
0.259,0.852,0
0.215,0.891,0
0.693,0.814,3
0.954,0.506,2
0.27,0.926,0
0.373,0.078,1
0.297,0.514,0
0.411,0.026,1
0.275,0.92,0
1,0.553,2
0.648,0.826,3
0.316,0.108,1
0.351,0.759,0
0.436,0.136,1
0.515,0.129,4
0.298,0.919,0
0.662,0.845,3
0.06,0.817,0
0.525,0.05,4
0.977,0.553,2
0.367,0.037,1
0.418,0.116,1
0.665,0.838,3
0.052,0.743,0
0.992,0.59,2
0.13,0.815,0
0.999,0.605,2
0.112,0.771,0
0.915,0.533,2
0.494,0.605,3
0.241,0.859,0
0.429,0.047,1
1.052,0.577,2
0.249,0.564,0
0.564,0.134,4
0.451,0.727,3
0.408,0.087,1
0.391,0.741,0
0.074,0.853,0
0.973,0.46,2
0.392,0.802,3
0.294,0.515,0
0.459,0.701,3
0.375,0.885,0
0.386,0.051,1
0.2,0.998,0
0.489,0.672,3
0.218,0.483,0
0.544,0.037,4
0.323,0.544,0
0.273,0.471,0
1.005,0.473,2
0.509,0.105,4
0.195,0.959,0
0.422,0.762,3
0.315,0.558,0
0.402,0.745,3
0.422,0.084,1
0.497,0.108,4
0.447,0.705,3
0.34,0.061,1
0.442,0.692,3
0.116,0.808,0
0.294,0.442,0
0.37,0.126,1
0.212,0.485,0
0.191,0.916,0
0.29,1.013,0
0.577,0.046,4
0.465,0.044,4
0.956,0.54,2
0.396,0.002,1
0.424,0.722,3
0.115,0.735,0
0.254,0.911,0
0.273,0.926,0
0.883,0.533,2
0.603,0.832,3
0.282,0.521,0
0.348,0.872,0
0.35,0.932,0
0.63,0.887,3
0.345,0.094,1
0.477,0.114,4
0.477,0.752,3
0.554,0.096,4
0.411,0.074,1
0.458,0.712,3
0.699,0.826,3
0.219,0.512,0
0.082,0.795,0
0.237,0.89,0
0.478,0.691,3
0.528,0.042,4
0.436,0.084,1
0.95,0.636,2
0.093,0.764,0
0.432,0.75,3
0.456,0.77,3
0.618,0.855,3
0.502,0.071,4
0.981,0.593,2
0.343,0.062,1
0.262,0.535,0
0.46,0.091,4
0.039,0.757,0
0.116,0.734,0
0.389,0.674,0
0.23,0.859,0
0.074,0.732,0
0.98,0.617,2
0.28,0.858,0
0.922,0.504,2
0.186,0.514,0
0.324,0.724,0
0.553,0.663,3
0.971,0.509,2
0.004,0.843,0
0.424,0.766,3
0.969,0.483,2
1.009,0.585,2
0.485,0.108,4
0.452,0.08,4
0.948,0.526,2
0.392,0.111,1
0.523,0.078,4
0.961,0.613,2
0.902,0.462,2
0.434,0.094,1
0.969,0.53,2
0.066,0.773,0
0.415,0.058,1
0.005,0.781,0
0.946,0.526,2
0.967,0.552,2
0.505,0.115,4
0.443,0.025,4
0.129,0.839,0
0.5,0.038,4
0.405,0.134,1
0.526,0.097,4
0.085,0.74,0
0.713,0.839,3
0.394,0.087,1
0.498,0.067,4
0.312,0.529,0
0.59,0.008,4
0.415,0.057,1
0.286,0.906,0
0.419,0.725,3
0.497,0.003,4
0.668,0.845,3
0.95,0.619,2
0.688,0.8,3
0.233,0.482,0
0.657,0.871,3
0.075,0.783,0
0.488,0.067,4
0.582,0.091,4
0.314,0.066,1
0.695,0.809,3
0.594,0.754,3
0.269,0.865,0
0.476,0.078,4
0.155,0.829,0
0.292,0.488,0
0.989,0.429,2
0.348,0.063,1
0.08,0.813,0
0.069,0.808,0
0.274,0.495,0
0.388,0.035,1
1.085,0.521,2
0.413,0.01,1
0.367,0.131,1
0.433,0.71,3
0.651,0.799,3
0.036,0.716,0
0.408,0.714,3
0.638,0.795,3
0.308,0.936,0
0.973,0.552,2
0.524,0.113,4
0.256,0.898,0
0.385,0.103,1
0.356,0.782,0
0.04,0.79,0
0.95,0.405,2
0.697,0.775,3
0.488,0.137,4
0.367,0.005,1
0.149,0.718,0
0.454,0.705,3
0.478,0.006,4
0.433,0.712,3
1.059,0.554,2
0.267,0.591,0
0.438,0.753,3
1.001,0.66,2
0.41,0.737,3
0.938,0.466,2
0.233,0.455,0
0.399,0.113,1
0.978,0.613,2
0.966,0.559,2
0.452,0.755,3
0.084,0.728,0
0.25,0.467,0
0.368,0.082,1
0.262,0.873,0
0.737,0.825,3
0.487,0.087,4
0.072,0.76,0
0.045,0.725,0
0.196,0.525,0
0.067,0.804,0
0.522,0.057,4
0.504,0.701,3
0.366,0.037,1
0.482,0.779,3
0.106,0.778,0
0.955,0.5,2
0.147,0.79,0
0.408,0.742,3
0.281,0.968,0
0.305,0.874,0
0.359,0.058,1
0.674,0.827,3
0.474,0.686,3
0.241,0.438,0
1.066,0.548,2
0.999,0.56,2
0.137,0.786,0
0.472,0.05,4
0.668,0.78,3
1.01,0.514,2
0.322,0.085,1
0.294,0.948,0
0.23,0.384,0
0.357,0.079,1
0.948,0.526,2
0.086,0.796,0
0.254,0.935,0
0.539,0.156,4
0.322,0.436,0
0.676,0.808,3
0.08,0.736,0
0.438,0.777,3
0.513,0.046,4
0.681,0.772,3
0.431,0.679,3
0.994,0.572,2
0.281,0.855,0
0.51,0.059,4
0.484,0.075,4
0.099,0.804,0
0.122,0.712,0
0.436,0.706,3
0.403,0.746,3
0.135,0.735,0
0.35,0.925,0
0.284,0.547,0
0.91,0.519,2
0.075,0.709,0
0.292,0.939,0
0.518,0.067,4
0.752,0.887,3
0.278,0.011,1
0.072,0.802,0
0.367,0.102,1
0.102,0.778,0
0.675,0.761,3
1.013,0.54,2
0.275,0.814,0
0.455,0.729,3
0.222,0.538,0
0.457,0.711,3
0.5,0.721,3
0.093,0.746,0
0.266,0.908,0
0.67,0.798,3
0.423,0.025,1
0.478,0.085,4
0.67,0.8,3
0.96,0.486,2
0.42,0.01,1
0.581,0.101,4
0.74,0.778,3
0.354,0.081,1
0.106,0.772,0
0.645,0.792,3
0.657,0.804,3
0.367,0.144,1
0.525,0.074,4
0.277,0.542,0
0.264,0.877,0
0.361,0.007,1
0.296,0.474,0
0.383,0.055,1
0.301,0.495,0
0.507,0.096,4
0.466,0.741,3
0.506,0.084,4
0.245,0.451,0
0.964,0.52,2
0.192,0.756,0
0.489,0.09,4
0.241,0.456,0
0.691,0.794,3
0.105,0.76,0
0.308,0.518,0
0.327,0.875,0
0.249,0.919,0
0.269,0.808,0
0.103,0.767,0
0.231,0.528,0
0.294,0.934,0
0.972,0.527,2
0.488,0.734,3
1.027,0.534,2
0.678,0.828,3
0.26,0.918,0
0.332,0.861,0
0.466,0.083,4
0.152,0.815,0
0.512,0.014,4
0.404,0.655,0
0.665,0.85,3
0.692,0.835,3
0.416,0.004,1
0.49,0.651,3
0.316,0.917,0
0.426,0.027,1
0.685,0.769,3
0.278,0.926,0
0.981,0.549,2
0.271,0.469,0
0.98,0.589,2
1.023,0.501,2
0.288,0.873,0
0.666,0.826,3
0.965,0.525,2
0.302,0.912,0
0.449,0.721,3
0.502,0.079,4
0.668,0.862,3
0.41,0.661,3
0.456,0.693,3
0.362,0.077,1
0.97,0.588,2
0.244,0.526,0
0.055,0.802,0
0.257,0.881,0
0.413,0.045,1
0.433,0.711,3
0.276,0.502,0
0.507,0.712,3
0.536,0.15,4
0.951,0.587,2
0.677,0.771,3
0.669,0.831,3
0.964,0.581,2
0.677,0.775,3
0.296,0.912,0
0.32,0.874,0
1.01,0.528,2
0.688,0.745,3
0.308,0.031,1
0.608,0.059,4
0.621,0.881,3
0.309,0.489,0
0.376,0.042,1
0.608,0.789,3
0.273,0.892,0
0.386,0.081,1
0.308,0.907,0
0.958,0.553,2
0.069,0.827,0
0.328,0.521,0
0.29,0.525,0
0.377,0.097,1
0.331,0.051,1
0.309,0.896,0
0.126,0.809,0
0.388,0.021,1
0.501,0.065,4
0.348,0.07,1
0.144,0.716,0
0.417,0.037,1
0.419,0.716,3
0.447,0.699,3
0.277,0.883,0
0.959,0.556,2
0.031,0.776,0
0.649,0.827,3
0.945,0.533,2
0.975,0.512,2
0.442,0.761,3
0.06,0.788,0
0.371,0.729,0
0.282,0.448,0
0.539,0.05,4
0.717,0.775,3
0.131,0.819,0
0.221,0.461,0
0.996,0.523,2
0.531,0.641,3
0.07,0.779,0
0.305,0.919,0
0.604,0.868,3
0.046,0.774,0
0.403,0.033,1
0.39,0.041,1
0.064,0.758,0
0.083,0.787,0
0.312,0.96,0
1.031,0.586,2
0.574,0.126,4
0.376,0.073,1
0.228,0.504,0
0.357,0.086,1
0.462,0.747,3
0.387,0.077,1
0.989,0.543,2
0.466,0.076,4
0.257,0.419,0
0.363,0.023,1
0.967,0.514,2
0.686,0.768,3
0.469,0.714,3
0.691,0.815,3
0.986,0.487,2
0.936,0.575,2
0.499,0.039,4
0.688,0.803,3
0.497,0.066,4
0.462,0.727,3
0.696,0.855,3
0.337,0.871,0
0.348,0.944,0
0.462,0.731,3
0.681,0.867,3
0.049,0.78,0
1.026,0.54,2
0.461,0.006,4
0.398,0.037,1
0.015,0.829,0
0.515,0.055,4
0.639,0.825,3
0.293,0.854,0
0.327,0.587,0
0.317,0.909,0
0.232,0.493,0
0.074,0.783,0
0.958,0.546,2
0.99,0.549,2
0.381,0.036,1
0.302,0.134,1
0.345,0.876,0
0.499,0.705,3
0.315,0.939,0
0.129,0.763,0
0.278,0.922,0
0.23,0.878,0
0.688,0.778,3
0.267,0.523,0
0.485,0.115,4
0.087,0.696,0
0.119,0.788,0
0.264,0.912,0
0.462,0.104,4
0.239,0.491,0
0.348,0.134,1
0.623,0.8,3
0.386,0.062,1
0.498,0.09,4
0.38,0.891,3
0.554,0.103,4
0.119,0.777,0
0.214,0.881,0
0.299,0.867,0
0.492,0.037,4
0.46,0.65,3
0.384,0.067,1
0.533,0.105,4
0.064,0.777,0
0.108,0.825,0
1.017,0.52,2
0.185,0.469,0
0.365,0.918,0
0.063,0.806,0
0.43,0.736,3
0.303,0.002,1
0.067,0.792,0
0.483,0.059,4
0.019,0.779,0
0.391,0.098,1
0.357,0.906,0
0.058,0.846,0
0.618,0.808,3
0.216,0.995,0
0.087,0.7,0
0.372,0.085,1
0.474,0.748,3
0.452,0.116,4
0.56,0.027,4
0.248,0.525,0
0.307,0.455,0
0.449,0.147,4
0.295,0.973,0
0.349,0.055,1
0.262,0.499,0
0.069,0.736,0
0.453,0.702,3
0.505,0.064,4
0.434,0.099,1
0.293,0.893,0
0.075,0.761,0
1.01,0.521,2
0.05,0.747,0
0.507,0.763,3
0.676,0.881,3
0.072,0.725,0
0.51,0.083,4
0.634,0.773,3
0.007,0.771,0
0.255,0.502,0
0.338,0.027,1
0.331,0.994,0
0.534,0.66,3
0.934,0.468,2
0.345,0.033,1
0.364,0.031,1
0.688,0.822,3
0.375,0.042,1
0.719,0.801,3
0.405,0.818,3
0.409,0.691,3
0.46,0.053,4
0.326,0.404,1
0.535,0.107,4
0.664,0.817,3
0.384,0.012,1
0.902,0.487,2
0.049,0.815,0
0.977,0.568,2
0.322,0.037,1
0.123,0.824,0
0.495,0.714,3
0.426,0.775,3
0.285,0.071,1
0.649,0.9,3
0.288,0.499,0
0.428,0.68,3
0.975,0.486,2
0.783,0.801,3
0.368,0.056,1
0.696,0.828,3
0.069,0.737,0
0.288,0.54,0
0.261,0.902,0
0.326,0.91,0
0.24,0.907,0
0.954,0.486,2
0.235,0.427,0
0.493,0.772,3
0.581,0.831,3
0.497,0.077,4
0.942,0.537,2
1.005,0.529,2
0.446,0.686,3
0.209,0.478,0
0.231,0.915,0
0.435,0.756,3
0.233,0.498,0
0.274,0.904,0
0.414,0.049,1
0.475,0.766,3
0.955,0.564,2
0.264,0.861,0
0.594,0.763,3
0.628,0.822,3
0.029,0.787,0
0.289,0.53,0
0.239,0.472,0
0.651,0.865,3
0.475,0.695,3
0.648,0.85,3
0.283,0.884,0
1.026,0.55,2
0.42,0.773,3
0.922,0.554,2
0.324,0.04,1
0.426,0.691,3
0.673,0.887,3
0.443,0.691,3
0.102,0.84,0
0.704,0.823,3
0.542,0.04,4
0.364,0.946,0
1.005,0.505,2
0.68,0.793,3
0.364,0.785,0
0.71,0.796,3
0.507,0.072,4
0.308,0.486,0
0.455,0.685,3
0.679,0.786,3
0.702,0.764,3
0.938,0.512,2
0.37,0.136,1
0.494,0.67,3
0.475,0.77,3
0.961,0.573,2
0.426,0.737,3
0.451,0.684,3
0.375,0.934,0
0.479,0.117,4
0.485,0.124,4
0.38,0.021,1
0.645,0.771,3
0.651,0.782,3
0.152,0.769,0
0.64,0.815,3
0.305,0.485,0
1.074,0.561,2
0.554,0.142,4
0.671,0.849,3
0.454,0.76,3
0.365,0.11,1
0.498,0.063,4
0.455,0.696,3
0.443,0.632,3
0.279,0.94,0
0.243,0.891,0
0.462,0.785,3
0.394,0.774,3
0.684,0.708,3
0.405,0.102,1
0.456,0.699,3
0.278,0.477,0
0.009,0.786,0
0.195,0.473,0
0.107,0.725,0
0.469,0.669,3
0.291,0.485,0
0.471,0.685,3
0.472,0.778,3
0.387,0.148,1
0.492,0.723,3
0.706,0.808,3
0.945,0.541,2
0.353,0.444,0
0.454,0.749,3
0.439,0.073,1
0.388,0.921,3
0.375,0.719,0
0.69,0.802,3
0.387,0.114,1
0.068,0.777,0
0.065,0.792,0
0.092,0.829,0
0.501,0.059,4
0.456,0.076,4
0.323,0.896,0
0.934,0.464,2
0.998,0.52,2
0.351,0.83,0
1.015,0.544,2
0.431,0.122,1
0.274,0.897,0
0.09,0.765,0
0.404,0.008,1
0.533,0.111,4
1.02,0.524,2
0.976,0.536,2
0.33,0.927,0
0.428,0.726,3
0.343,0.059,1
0.42,0.023,1
0.316,0.021,1
0.095,0.815,0
0.038,0.788,0
0.1,0.805,0
0.362,0.005,1
0.089,0.852,0
0.954,0.563,2
0.513,0.037,4
0.432,0.067,1
0.189,0.538,0
1.018,0.553,2
0.502,0.059,4
0.337,0.14,1
0.47,0.745,3
0.193,0.485,0
0.305,0.477,0
0.414,0.806,3
0.447,0.708,3
0.243,0.922,0
0.474,0.728,3
0.343,0.731,0
0.238,0.836,0
0.504,0.699,3
0.363,0.515,0
0.29,0.938,0
0.054,0.773,0
0.507,0.048,4
1.019,0.522,2
0.103,0.791,0
0.499,0.031,4
0.971,0.522,2
0.375,0.655,0
0.677,0.698,3
0.51,0.005,4
0.436,0.704,3
0.662,0.745,3
0.025,0.801,0
0.392,0.097,1
0.292,0.536,0
0.717,0.885,3
0.484,0.021,4
0.77,0.756,3
0.104,0.781,0
0.401,0.051,1
0.671,0.796,3
0.548,0.06,4
0.307,0.917,0
0.504,0.119,4
0.407,0.736,3
0.31,0.917,0
1.045,0.565,2
0.454,0.672,3
0.366,0.034,1
0.547,0.024,4
0.301,0.503,0
0.29,0.426,0
0.279,0.475,0
0.43,0.689,3
0.649,0.779,3
0.445,0.67,3
0.621,0.763,3
0.979,0.484,2
0.662,0.858,3
0.074,0.749,0
0.333,0.535,0
0.43,0.065,1
0.715,0.823,3
0.663,0.821,3
0.233,0.499,0
0.296,0.815,0
0.718,0.791,3
0.5,0.118,4
0.437,0.761,3
0.285,0.878,0
0.432,0.745,3
0.234,0.923,0
0.659,0.825,3
0.264,0.844,0
0.336,0.901,0
0.475,0.741,3
0.292,0.064,1
0.425,0.053,1
0.044,0.731,0
0.494,0.118,4
0.304,0.501,0
0.658,0.722,3
1.039,0.569,2
0.426,0.05,1
0.314,0.09,1
0.339,0.555,0
0.433,0.111,1
0.13,0.755,0
0.052,0.811,0
0.474,0.107,4
0.937,0.451,2
0.146,0.797,0
0.532,0.729,3
0.465,0.093,4
0.678,0.768,3
0.315,0.003,1
0.7,0.78,3
0.294,0.93,0
1.017,0.529,2
0.442,0.679,3
0.038,0.799,0
0.076,0.732,0
0.373,0.056,1
0.014,0.755,0
0.307,0.121,1
0.383,0.138,1
0.364,0.032,1
0.33,0.933,0
0.269,0.459,0
0.594,0.845,3
0.516,0.727,3
0.68,0.782,3
0.917,0.541,2
0.503,0.005,4
0.656,0.84,3
0.673,0.816,3
0.435,0.71,3
0.662,0.773,3
0.274,0.472,0
0.086,0.771,0
0.155,0.673,0
0.116,0.756,0
0.955,0.489,2
0.072,0.769,0
0.997,0.549,2
0.756,0.78,3
0.562,0.09,4
0.944,0.542,2
0.362,0.81,0
1.02,0.541,2
0.414,0.748,3
0.674,0.774,3
0.284,0.519,0
0.299,0.064,1
0.376,0.114,1
0.395,0.653,0
1.032,0.526,2
0.962,0.478,2
1.006,0.534,2
0.23,0.913,0
0.521,0.105,4
0.476,0.705,3
0.389,0.107,1
0.95,0.498,2
0.051,0.854,0
0.307,0.846,0
0.494,0.666,3
0.428,0.034,1
0.672,0.725,3
0.481,0.061,4
0.983,0.531,2
0.519,0.045,4
0.983,0.596,2
0.519,0.738,3
0.473,0.706,3
0.233,0.498,0
0.418,0.005,1
0.724,0.794,3
0.977,0.465,2
0.708,0.805,3
0.529,0.056,4
0.21,0.528,0
0.932,0.478,2
0.478,0.005,4
0.257,0.469,0
0.605,0.03,4
0.266,0.544,0
0.448,0.716,3
0.37,0.708,0
0.289,0.505,0
0.542,0.063,4
0.992,0.528,2
0.972,0.587,2
0.532,0.044,4
0.574,0.083,4
0.384,0.056,1
0.4,0.085,1
0.094,0.811,0
0.729,0.822,3
0.298,0.897,0
0.403,0.71,3
0.466,0.687,3
0.27,0.97,0
0.731,0.847,3
0.08,0.765,0
0.985,0.517,2
0.343,0.075,1
0.393,0.13,1
0.304,0.945,0
0.434,0.025,1
0.959,0.538,2
0.387,0.746,0
0.087,0.793,0
0.279,0.556,0
0.407,0.069,1
0.687,0.745,3
0.947,0.614,2
0.111,0.728,0
0.527,0.089,4
0.479,0.642,3
0.361,0.136,1
0.402,0.083,1
0.222,0.528,0
0.35,0.096,1
0.106,0.829,0
0.422,0.082,1
0.327,0.106,1
0.95,0.495,2
0.971,0.589,2
0.939,0.508,2
0.321,0.934,0
0.28,0.937,0
0.234,0.457,0
1.023,0.526,2
0.731,0.795,3
0.448,0.701,3
0.544,0.07,4
0.445,0.088,4
0.283,0.916,0
